scientific_name,longitude,latitude
Lobodon carcinophaga,-37.287659,-74.156273
Lobodon carcinophaga,-37.266087,-74.076042
Lobodon carcinophaga,-37.237503,-73.968132
Lobodon carcinophaga,-37.237503,-73.968132
Lobodon carcinophaga,-37.227352,-73.947372
Lobodon carcinophaga,-37.222916,-73.9394
Lobodon carcinophaga,-37.817837,-73.892227
Lobodon carcinophaga,-37.817837,-73.892227
Lobodon carcinophaga,-37.822563,-73.910973
Lobodon carcinophaga,-37.837387,-73.952797
Lobodon carcinophaga,-37.837387,-73.952797
Lobodon carcinophaga,-37.850174,-73.988594
Lobodon carcinophaga,-37.855259,-73.999039
Lobodon carcinophaga,-37.893631,-74.10659
Lobodon carcinophaga,-37.907608,-74.145836
Lobodon carcinophaga,-37.915077,-74.16571
Lobodon carcinophaga,-37.989124,-74.371361
Lobodon carcinophaga,-37.996952,-74.389038
Lobodon carcinophaga,-38.020451,-74.449226
Lobodon carcinophaga,-38.119053,-74.69709
Lobodon carcinophaga,-36.923706,-74.92012
Lobodon carcinophaga,-36.916668,-74.8918
Lobodon carcinophaga,-36.893654,-74.813904
Lobodon carcinophaga,-36.876328,-74.772118
Lobodon carcinophaga,-36.872513,-74.752342
Lobodon carcinophaga,-36.871773,-74.75016
Lobodon carcinophaga,-36.868423,-74.74218
Lobodon carcinophaga,-36.855045,-74.702011
Lobodon carcinophaga,-36.841114,-74.655983
Lobodon carcinophaga,-36.839462,-74.650726
Lobodon carcinophaga,-37.394024,-74.448257
Lobodon carcinophaga,-37.380138,-74.417412
Lobodon carcinophaga,-37.371525,-74.399246
Lobodon carcinophaga,-37.349094,-74.346077
Lobodon carcinophaga,-37.329979,-74.297653
Lobodon carcinophaga,-37.302395,-74.212524
Lobodon carcinophaga,-37.300926,-74.20845
Lobodon carcinophaga,-37.300179,-74.206909
Lobodon carcinophaga,-37.298222,-74.200867
Lobodon carcinophaga,-37.300556,-74.20768
Lobodon carcinophaga,-37.12595,-73.80249
Lobodon carcinophaga,-37.1245,-73.800713
Lobodon carcinophaga,-37.052216,-73.710831
Lobodon carcinophaga,-33.029346,-74.643883
Lobodon carcinophaga,-33.82486,-74.763718
Lobodon carcinophaga,-33.819851,-74.747459
Lobodon carcinophaga,-33.81765,-74.737679
Lobodon carcinophaga,-33.782104,-74.500427
Lobodon carcinophaga,-34.47298,-74.527969
Lobodon carcinophaga,-34.473042,-74.528564
Lobodon carcinophaga,-34.473755,-74.532867
Lobodon carcinophaga,-34.477978,-74.561714
Lobodon carcinophaga,-34.489494,-74.630714
Lobodon carcinophaga,-34.497814,-74.657043
Lobodon carcinophaga,-34.513756,-74.728386
Lobodon carcinophaga,-35.202751,-74.846848
Lobodon carcinophaga,-35.121449,-74.509315
Lobodon carcinophaga,-32.937885,-74.352699
Lobodon carcinophaga,-32.904888,-74.214333
Lobodon carcinophaga,-32.902725,-74.206398
Lobodon carcinophaga,-32.870884,-74.102867
Lobodon carcinophaga,-32.865208,-74.07869
Lobodon carcinophaga,-32.865208,-74.07869
Lobodon carcinophaga,-32.8615,-74.064758
