date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,freez_pot_Wm2,SIT_m,SIC,SST_degC,bottom_temp_degC,SSS_PSU,bottom_sal_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,lt_pack_ice,dist_ice_edge_lon
Dec-99,1999,12,-68.141,78.35,-68.162,78.4,summer,weaning,1990,East Indian,Antarctic,0,89.9484787,390.2918464,100.0661125,152.8,-5492.4917,0.20322908,0.24800178,-1.190979,-1.74822998,34.467323,34.54590607,-0.105116196,-0.000265931,-0.18166074,-0.062756076,0.523809524,973.8517678
Dec-99,1999,12,-68.057,76.55,-68.036,76.6,summer,weaning,1990,Central Indian,Antarctic,0,89.76396179,377.856305,46.31654981,457.33334,-1273.3147,1.0514431,0.79093117,-1.7010498,-1.865722656,34.358345,34.55213165,-0.03889577,-0.002177975,-0.013509506,-0.000101009,0.654761905,933.2845414
Dec-99,1999,12,-68.057,77.05,-68.036,77.1,summer,weaning,1990,East Indian,Antarctic,0,89.82653809,377.8301204,58.82992321,488.26666,-1200.6074,1.1180696,0.7840359,-1.7102661,-1.865509033,34.3652,34.54325867,-0.05926835,-0.001380756,-0.010848115,-0.001877115,0.642857143,941.5757293
Dec-00,2000,12,-67.93,74.05,-67.951,74.1,summer,weaning,2000,Central Indian,Antarctic,0,89.52993774,358.7551074,0.082419656,554.6667,-17444.564,0.10357416,0.18880463,0.26641846,-1.863372803,34.180317,34.5536232,0.001265795,0.02487381,-0.07415226,-0.054492466,0.666666667,890.4537145
Dec-84,1984,12,-67.93,75.25,-67.951,75.3,summer,weaning,1980,Central Indian,Antarctic,0,89.17651367,359.0041171,8.356604808,471.83334,-5441.6577,0.65732086,0.41125792,-1.1805725,-1.862731934,34.070377,34.54485703,-0.012072271,0.03724616,-0.091137394,-0.045999747,0.666666667,909.0435587
Dec-99,1999,12,-67.93,77.15,-67.951,77.2,summer,weaning,1990,Central Indian,Antarctic,0,89.73799896,363.7397146,50.3149942,420.2,-1108.7872,1.1602573,0.7749647,-1.7202759,-1.864837646,34.346066,34.52757645,-0.06434355,0.002068636,0.004104712,-0.001071806,0.654761905,930.5101919
Dec-05,2005,12,-67.93,77.95,-67.951,78,summer,weaning,2000,Central Indian,Antarctic,0,89.80130768,365.0772908,71.6233487,585.35,-8745.96,0.2119798,0.13031338,-0.7887268,-1.860290527,34.212555,34.54029465,-0.09020414,-0.004619254,-0.051953215,-0.002755248,0.630952381,730.6468524
Dec-97,1997,12,-67.93,78.65,-67.951,78.7,summer,weaning,1990,Central Indian,Antarctic,0,89.95986176,369.0607688,87.02083535,340.66666,-4574.6885,0.4196531,0.1627319,-1.3015747,-1.810302734,34.37834,34.53842163,-0.17647983,-0.121461362,-0.06819438,-0.041435651,0.5,804.3349787
Nov-87,1987,11,-67.845,76.85,-67.867,76.9,autumn,weaning,1980,Central Indian,Antarctic,0,89.81261444,354.3461108,36.38487526,427.65,-154.67944,0.3783672,0.9447018,-1.8426208,-1.86529541,34.470104,34.53962326,-0.041174803,0.004363573,-0.012783254,-0.015589051,0.642857143,850.9035362
Dec-99,1999,12,-67.845,77.05,-67.867,77.1,summer,weaning,1990,Central Indian,Antarctic,0,89.70384216,354.3461108,40.11089552,391.88333,-1143.795,1.1004483,0.7734208,-1.7155151,-1.864807129,34.337124,34.52825546,-0.057218198,-0.001101677,0.003753486,-0.001693595,0.654761905,920.227677
Dec-99,1999,12,-67.845,77.15,-67.867,77.2,summer,weaning,1990,East Indian,Antarctic,0,89.68534851,354.3461108,42.48337715,401.01666,-1113.8304,1.1496384,0.77101654,-1.7196045,-1.864898682,34.34535,34.52954102,-0.06192017,0.000171692,0.002159885,-0.001932491,0.654761905,922.0058116
Dec-99,1999,12,-67.761,77.55,-67.74,77.6,summer,weaning,1990,East Indian,Antarctic,0,89.8884201,345.2138164,48.14332907,325.13333,-941.5925,1.3932742,0.75733024,-1.7428284,-1.862121582,34.39067,34.498806,-0.039945986,-0.004851083,-0.03937998,0.00433515,0.642857143,920.9398896
Dec-99,1999,12,-67.761,79.05,-67.74,79.1,summer,weaning,1990,East Indian,Antarctic,0,89.96154785,354.2376134,80.89648177,378.1,-3096.296,0.5875275,0.4436785,-1.4844055,-1.860321045,34.441856,34.55177307,-0.07228581,-0.000281693,-0.06420789,-0.046812557,0.511904762,948.5647508
Nov-98,1998,11,-67.761,80.15,-67.74,80.1,autumn,weaning,1990,Central Indian,Antarctic,0,89.91444397,368.5670481,116.3002935,491.8859,-214.9559,0.07003109,0.5302201,-1.8352051,-1.860534668,34.47439,34.48423767,-0.084656544,0.001575174,-0.12825097,-0.049503192,0.488095238,878.2930775
Dec-97,1997,12,-67.634,75.75,-67.655,75.8,summer,weaning,1990,Central Indian,Antarctic,0,89.5754776,328.5094407,10.17119465,423.91666,-2295.9998,0.78196,0.6345807,-1.5665894,-1.863494873,34.16365,34.5496788,-0.08164802,-0.009864232,-0.009083289,0.002684856,0.654761905,870.4865661
Dec-97,1997,12,-67.634,76.05,-67.655,76.1,summer,weaning,1990,Central Indian,Antarctic,0,89.70302582,330.6144813,0.228863376,411.05,-2271.3289,0.72689843,0.6114109,-1.5717773,-1.84942627,34.204556,34.51814651,-0.08268159,-0.008314762,-0.01587222,0.006933966,0.654761905,860.5922577
Dec-99,1999,12,-67.634,76.35,-67.655,76.4,summer,weaning,1990,Central Indian,Antarctic,0,89.73536682,330.8621013,6.705688455,362.85,-1318.7856,1.0925511,0.76327235,-1.6930237,-1.858459473,34.31441,34.50080872,-0.054858617,-0.00240162,0.005466111,0.007852044,0.666666667,886.7629618
Dec-99,1999,12,-67.634,76.45,-67.655,76.5,summer,weaning,1990,Central Indian,Antarctic,0,89.78206635,330.8621013,9.93885214,349.86667,-1296.2527,1.0909829,0.76345843,-1.6959229,-1.856567383,34.318092,34.4971962,-0.052879672,-0.002390138,0.004971298,0.00485163,0.666666667,888.4404351
Nov-98,1998,11,-67.55,71.75,-67.571,71.8,autumn,weaning,1990,Central Indian,Antarctic,0,89.89218903,335.3628892,88.38518538,632.4583,-32.3529,0.6134648,0.9613197,-1.8604126,-1.865570068,34.52584,34.54951859,0.04240869,0.013476104,-0.08436588,0.01305469,0.654761905,823.2107691
Nov-87,1987,11,-67.55,73.15,-67.571,73.2,autumn,weaning,1980,Central Indian,Antarctic,0,89.4469223,321.3911345,36.24676242,588.7639,-132.21902,0.6068874,0.96540314,-1.8469849,-1.865814209,34.50041,34.55436707,0.01407851,0.031821683,-0.048383877,-0.021019697,0.678571429,791.0815629
Dec-99,1999,12,-67.55,74.85,-67.571,74.9,summer,weaning,1990,East Indian,Antarctic,0,89.68647766,316.072703,25.51357113,459.8611,-1535.0243,0.9008307,0.7632013,-1.6661682,-1.863616943,34.299244,34.52576065,-0.013881144,-0.006354822,-0.026630811,0.00017547,0.666666667,855.5292231
Dec-97,1997,12,-67.55,75.15,-67.571,75.2,summer,weaning,1990,Central Indian,Antarctic,0,89.14505768,316.5512115,25.90563509,418.875,-2746.188,0.8775333,0.65401417,-1.5083923,-1.866149902,34.09652,34.5729866,-0.070193596,0.004669861,-0.010550949,0.000796353,0.666666667,866.9013535
Dec-99,1999,12,-67.55,76.35,-67.571,76.4,summer,weaning,1990,East Indian,Antarctic,0,89.60871124,321.4684974,1.232969014,343.93054,-1319.3809,1.0714157,0.7552729,-1.6934509,-1.840545654,34.324337,34.48638535,-0.049697787,-0.000954324,-0.000146691,0.004358822,0.666666667,878.1358048
Dec-99,1999,12,-67.55,77.55,-67.571,77.6,summer,weaning,1990,East Indian,Antarctic,0,89.76856995,321.7513864,26.27002967,283.16666,-966.2206,1.2507088,0.75351655,-1.7412415,-1.864013672,34.418285,34.51826859,-0.021300282,0.001905837,-0.04383656,0.002056579,0.666666667,900.0423682
Dec-97,1997,12,-67.55,77.55,-67.571,77.6,summer,weaning,1990,Central Indian,Antarctic,0,89.76856995,321.7513864,26.27002967,283.16666,-2754.6091,0.8112596,0.51739925,-1.5178528,-1.852905273,34.301517,34.52272415,-0.039377064,-0.005724817,-0.051328637,0.002636607,0.654761905,806.4746025
Dec-99,1999,12,-67.55,80.55,-67.571,80.5,summer,weaning,1990,Central Indian,Antarctic,0,89.97736359,354.0537877,121.9717201,371.3644,-4253.3374,0.2979551,0.14536814,-1.3418579,-1.864654541,34.400463,34.52944565,-0.043274175,-0.002060356,-0.038177833,-0.002670746,0.488095238,952.1828005
Dec-99,1999,12,-67.465,72.95,-67.444,73,summer,weaning,1990,Central Indian,Antarctic,0,89.23436737,313.9890353,45.44632655,597.1,-1365.0481,0.75662476,0.7770133,-1.6901245,-1.862976074,34.3592,34.52350616,0.015232747,0.012790558,-0.03244939,0.022018546,0.666666667,808.5276209
Nov-94,1994,11,-67.465,73.65,-67.444,73.7,autumn,weaning,1990,Central Indian,Antarctic,0,89.73371887,308.7533639,18.90576858,522.7167,-121.23308,0.58789015,0.9373828,-1.8494263,-1.862976074,34.520954,34.5279274,0.005286211,0.014665338,-0.05627683,-0.012103135,0.654761905,819.6431426
Nov-87,1987,11,-67.465,73.75,-67.444,73.8,autumn,weaning,1980,Central Indian,Antarctic,0,89.74704742,308.2610217,15.16304124,512.23334,-147.99788,0.5694207,0.9634058,-1.8464355,-1.865539551,34.525803,34.5514183,0.018822363,0.036925431,-0.050963774,-0.017656302,0.666666667,783.6785045
Dec-99,1999,12,-67.465,74.55,-67.444,74.6,summer,weaning,1990,East Indian,Antarctic,0,89.5704422,306.6471728,13.06675909,459.75,-1568.1421,0.86045694,0.7643705,-1.6609497,-1.863800049,34.277107,34.52346039,-0.0249878,-0.001059036,-0.018801553,-0.003343543,0.666666667,842.7040597
Dec-99,1999,12,-67.465,74.85,-67.444,74.9,summer,weaning,1990,East Indian,Antarctic,0,89.53047943,306.6801937,25.70117444,443.43332,-1558.4895,0.8749062,0.76194936,-1.661499,-1.864013672,34.265965,34.52529144,-0.032091953,0.000536201,-0.001843931,0.000445833,0.666666667,846.6068336
Nov-96,1996,11,-67.465,74.95,-67.444,75,autumn,weaning,1990,Central Indian,Antarctic,0,88.50605774,306.7792351,29.93965324,439.31668,-319.12097,0.39861733,0.9040203,-1.8188171,-1.865203857,34.398323,34.53413391,-0.030446632,0.001912263,-0.019171126,-0.007425868,0.666666667,771.0240445
Dec-99,1999,12,-67.465,75.05,-67.444,75.1,summer,weaning,1990,Central Indian,Antarctic,0,88.80381775,306.9442327,34.18326444,436.05,-1556.5701,0.8852192,0.76012295,-1.6611023,-1.864074707,34.25471,34.52513123,-0.04352276,0.000724048,0.003876822,0.001075575,0.666666667,849.3375768
Nov-98,1998,11,-67.465,75.65,-67.444,75.7,autumn,weaning,1990,Central Indian,Antarctic,0,89.35837555,309.3104007,25.22515011,393.01666,-201.8714,0.4712645,0.9397408,-1.8346863,-1.846313477,34.42895,34.49886322,-0.078553036,0.000754526,-0.05214519,0.002739462,0.666666667,824.8897882
Dec-99,1999,12,-67.465,75.75,-67.444,75.8,summer,weaning,1990,East Indian,Antarctic,0,89.5650177,309.9317817,21.76486705,391.83334,-1544.8536,0.94442075,0.7469599,-1.6633606,-1.857330322,34.27136,34.49780273,-0.046416,-0.003854393,0.004611741,0.00634456,0.666666667,859.6910148
Dec-99,1999,12,-67.465,75.95,-67.444,76,summer,weaning,1990,East Indian,Antarctic,0,89.6359787,311.3659891,16.02841552,378.11667,-1486.4047,0.97304124,0.7489333,-1.6713562,-1.849212646,34.28876,34.48978806,-0.04651061,-0.003019657,-0.000220494,0.006510621,0.666666667,862.8721154
Dec-99,1999,12,-67.465,76.05,-67.444,76.1,summer,weaning,1990,Central Indian,Antarctic,0,89.64133453,312.1779324,14.23762952,389.43332,-1450.8545,0.9946579,0.75103253,-1.6762695,-1.847015381,34.29981,34.48849106,-0.05245196,-0.005297819,-0.002556228,0.005475948,0.666666667,864.4991415
Nov-98,1998,11,-67.465,76.05,-67.444,76.1,autumn,weaning,1990,Central Indian,Antarctic,0,89.64133453,312.1779324,14.23762952,389.43332,-291.5917,0.4814669,0.93858254,-1.8240051,-1.779022217,34.43284,34.47083282,-0.07872709,-0.025028845,-0.066942394,0.010221784,0.654761905,824.8897882
