event_date,date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,freez_pot_Wm2,SIT_m,SIC,SST_degC,bottom_temp_degC,SSS_PSU,bottom_sal_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,dist_ice_edge_km,lt_pack_ice
1985-02-25T00:30:00Z,1985-02,1985,2,-68.521,77.45,-68.5,77.5,summer,moulting,1980,Central Indian,Antarctic,1,89.95379638671875,429.58523199073386,109.60730855706018,510.6499938964844,-5818.667,0.21180798,0.1065549,-1.0682068,-1.758819580078125,32.829266,34.48693084716797,-0.44770384,-0.01225733757019043,-0.09060394,-0.004130830056965351,153.35509501327905,0.5357142857142857
2008-12-26T00:00:00Z,2008-12,2008,12,-68.479,12.75,-68.458,12.7,summer,weaning,2000,Atlantic,Antarctic,1,89.90866088867188,106.08302855940168,17.719077944312012,2332.949951171875,-11990.107,0.15611179,0.12179614,-0.3824463,-0.423553466796875,33.90696,34.63064956665039,0.012599348,-0.0011647973442450166,-0.0638658,-0.00037075605359859765,1175.657740424936,0.5833333333333334
2002-08-13T00:00:00Z,2002-08,2002,8,-68.437,-75.75,-68.458,-75.7,autumn,in-between,2000,East Pacific,Antarctic,1,89.97857666015625,174.91154798061683,4.62718132032797,415.4333190917969,-192.63301,0.70565313,0.9840708,-1.8139648,1.439239501953125,34.024555,34.71791458129883,0.047570318,0.02421308308839798,0.07646307,0.017073731869459152,532.3621652342481,0.4166666666666667
1985-02-25T04:50:00Z,1985-02,1985,2,-68.437,75.75,-68.416,75.8,summer,moulting,1980,Central Indian,Antarctic,1,89.7315902709961,417.0095945864784,58.63088537588505,575.6333618164062,-3396.761,0.6189459,0.33988476,-1.3492126,-1.86077880859375,32.60741,34.54267883300781,-0.047326077,0.0299806147813797,0.010086143,-0.07496438175439835,138.00685324606224,0.6190476190476191
1998-11-29T00:00:00Z,1998-11,1998,11,-68.395,75.35,-68.373,75.3,autumn,weaning,1990,Central Indian,Antarctic,1,89.72020721435547,410.8304971479701,47.949315571588585,578.4166870117188,-86.98963,0.4209915,0.94946074,-1.854187,-1.863616943359375,34.532246,34.543609619140625,-0.003680978,0.031602174043655396,-0.089832805,-0.01666809245944023,926.2317092248317,0.6309523809523809
1985-02-25T08:00:00Z,1985-02,1985,2,-68.31,74.25,-68.331,74.3,summer,moulting,1980,Central Indian,Antarctic,1,89.759521484375,400.680737418904,37.15720361186898,644.433349609375,-4449.494,0.48132977,0.24729286,-1.2183228,-1.862640380859375,32.533817,34.548587799072266,0.017678201,0.029122965410351753,-0.034906536,-0.013052933849394321,110.92140296396688,0.6309523809523809
1988-03-18T13:30:00Z,1988-03,1988,3,-68.31,76.65,-68.289,76.6,autumn,in-between,1980,Central Indian,Antarctic,1,89.92017364501953,406.0109318471775,72.19700299645108,554.6534423828125,-7770.867,0.10082197,0.16450243,-0.8854675,-1.850921630859375,33.821194,34.576602935791016,-0.12182188,-0.05274973809719086,-0.09460904,-0.019209176301956177,15.517738314361932,0.6428571428571429
1989-03-18T13:30:00Z,1989-03,1989,3,-68.31,76.65,-68.289,76.6,autumn,in-between,1980,Central Indian,Antarctic,1,89.92017364501953,406.0109318471775,72.19700299645108,554.6534423828125,-3587.4353,0.050314527,0.36314026,-1.3990784,-1.854888916015625,33.956516,34.5308952331543,-0.06418443,-0.020824067294597626,-0.066486984,-0.03017972595989704,225.50328133983828,0.6428571428571429
2013-02-08T00:00:00Z,2013-02,2013,2,-68.226,-179.75,-68.205,-179.8,summer,moulting,2010,West Pacific,Antarctic,1,89.96959686279297,199.01314856994856,430.1766334945357,2738.833251953125,-3015.8486,0.37092078,0.24451411,-1.4397888,0.27081298828125,33.151947,34.691925048828125,0.018143175,0.0034073267597705126,0.0040833536,-0.011749002151191235,61.66587998829598,0.6309523809523809
1998-01-03T12:47:55Z,1998-01,1998,1,-68.226,-12.85,-68.247,-12.9,summer,moulting,1990,Atlantic,Antarctic,1,89.3853759765625,123.99427461342816,153.3759012216099,4919.5498046875,-16849.11,0.12778121,0.058037166,0.21728516,-0.69464111328125,33.658176,34.624366760253906,0.0029602796,0.0044004363007843494,-0.031192247,-0.00021422142162919044,284.4444661399468,0.5952380952380952
