date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,SIT_m,SST_degC,bottom_temp_degC,SSS_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,lt_pack_ice,dist_ice_edge_km
Dec-99,1999,12,-65.86,77.95,-65.839,78,summer,weaning,1990,Central Indian,Antarctic,0,89.92043304,137.5083743,56.95875738,3167.1833,0.75323576,-1.2498169,-0.221466064,33.93245,-0.027733492,0.015443281,-0.022521418,-8.28426e-4,0.607142857,734.2057299
Nov-90,1990,11,-65.86,78.05,-65.839,78.1,autumn,weaning,1990,Central Indian,Antarctic,0,89.8926239,138.6838369,53.44322389,3221.2834,1.2538207,-1.7533569,-0.264831543,34.13526,-0.040908452,0.01515436,-0.07237488,-0.00120573,0.607142857,584.0061117
Dec-99,1999,12,-65.86,78.35,-65.839,78.4,summer,weaning,1990,Central Indian,Antarctic,0,89.60462952,143.0624748,44.01056376,3189.3333,0.67853403,-1.1735535,-0.240997314,33.896744,-0.026524235,6.83679e-4,-0.032076262,-0.014746495,0.607142857,741.2781007
Dec-97,1997,12,-65.86,78.55,-65.839,78.6,summer,weaning,1990,Central Indian,Antarctic,0,89.91921997,146.6483029,39.09436308,3231.4666,1.2735955,-1.611145,-0.241729736,33.92368,-0.04428158,-0.015042024,-0.072630234,-0.01437907,0.583333333,654.0786453
Dec-99,1999,12,-65.86,78.65,-65.839,78.7,summer,weaning,1990,East Indian,Antarctic,0,89.94029999,148.6272868,36.12536414,3139.4539,0.64236575,-1.1229553,-0.247619629,33.8834,-0.03399091,-0.027149322,-0.03684362,-0.023858005,0.595238095,746.5979531
Dec-99,1999,12,-65.86,78.75,-65.839,78.8,summer,weaning,1990,East Indian,Antarctic,0,89.85894012,150.7238983,32.85525916,3093.2166,0.6314793,-1.1085205,-0.233612061,33.87612,-0.037579846,-0.009206639,-0.03871493,-0.016328009,0.595238095,748.4311352
Dec-99,1999,12,-65.86,79.05,-65.839,79.1,summer,weaning,1990,East Indian,Antarctic,0,89.97678375,157.6712139,25.47202572,3070.5,0.62191945,-1.105896,-0.193817139,33.87892,-0.044741232,-0.008995431,-0.050305057,-0.023634734,0.595238095,754.1072564
Dec-99,1999,12,-65.86,79.75,-65.839,79.8,summer,weaning,1990,East Indian,Antarctic,0,89.9899292,177.1264713,12.9520412,2642.45,0.72974324,-1.2450867,-0.181121826,33.95767,-0.04786821,0.010353975,-0.028750647,0.01523975,0.595238095,768.3524187
Dec-97,1997,12,-65.86,80.05,-65.839,80.1,summer,weaning,1990,Central Indian,Antarctic,0,89.98718262,183.6277111,7.524320378,1814.6188,1.1411494,-1.5846558,-0.205657959,33.94677,-0.086481184,-0.021083863,-0.1225502,-0.01435105,0.583333333,599.6593313
Nov-87,1987,11,-65.86,80.55,-65.839,80.5,autumn,weaning,1980,Central Indian,Antarctic,0,89.98963165,195.9940397,2.096594129,1222.1167,0.49108598,-1.8087463,-0.823455811,34.413113,-0.048413754,-0.007999708,-0.09575192,-0.01384673,0.583333333,714.1908819
Dec-99,1999,12,-65.86,81.25,-65.839,81.2,summer,weaning,1990,Central Indian,Subantarctic,0,89.97253418,214.3694511,9.872195547,411.91666,1.0700183,-1.599762,-1.773864746,34.19952,-0.013305676,0.007814429,-0.014900372,0.002843667,0.607142857,776.493612
Dec-84,1984,12,-65.86,81.55,-65.839,81.5,summer,weaning,1980,Central Indian,Antarctic,0,89.77364349,221.4516798,16.86378954,336.28333,1.2467706,-1.5444336,-1.844268799,33.71162,-0.10000093,-0.010455987,-0.0685638,2.3191e-4,0.583333333,616.5760124
Dec-99,1999,12,-65.86,83.05,-65.839,83,summer,weaning,1990,East Indian,Antarctic,0,89.96391296,261.041852,78.78422782,535.18335,1.0496011,-1.6123657,-1.826873779,34.154297,-0.004981733,0.009621541,-0.002681775,-0.01025063,0.630952381,735.9670515
Dec-99,1999,12,-65.86,84.95,-65.839,84.9,summer,weaning,1990,East Indian,Antarctic,0,89.99150085,253.7264492,109.4190884,1274.8035,1.3206764,-1.6727295,-0.7734375,34.07759,-0.036514424,0.062337101,-0.042129055,-0.069246747,0.619047619,695.4086069
Dec-99,1999,12,-65.86,87.55,-65.839,87.5,summer,weaning,1990,Central Indian,Antarctic,0,89.98159027,242.8905126,154.900751,782.4,0.98755723,-1.6821289,-0.969573975,34.17382,-0.024530677,0.024833577,-0.033632535,0.003438276,0.619047619,656.1251002
Dec-99,1999,12,-65.86,139.85,-65.839,139.8,summer,weaning,1990,Central Indian,Antarctic,0,89.76713562,291.9768919,154.4557867,211.83333,3.82e-6,-0.23226929,-1.169891357,34.484562,-0.010543811,-0.020415565,-0.048255704,-0.014205048,0.583333333,106.5150289
Dec-97,1997,12,-65.734,56.35,-65.755,56.4,summer,weaning,1990,Central Indian,Antarctic,0,89.99409485,213.6226903,103.0628792,689.9583,0.12545268,-0.97665405,-0.943756104,34.070232,8.77e-6,-0.014432839,-0.12545499,-0.050555803,0.619047619,538.5410032
Dec-99,1999,12,-65.734,59.75,-65.755,59.8,summer,weaning,1990,East Indian,Antarctic,0,89.97489929,146.0967786,49.16213604,3608.0557,0.34166276,-1.4207458,-0.744018555,34.083897,-0.03477312,-0.004344501,-0.030454028,-0.03701099,0.55952381,471.5752214
Dec-99,1999,12,-65.734,60.55,-65.755,60.6,summer,weaning,1990,East Indian,Antarctic,0,89.94420624,137.0714815,47.25474072,3611.375,0.33684263,-1.3521118,-0.668792725,34.106426,-0.06985823,-0.004049794,0.019689683,-0.002275579,0.571428571,487.0568058
Dec-99,1999,12,-65.734,60.85,-65.755,60.9,summer,weaning,1990,Central Indian,Antarctic,0,89.93373871,135.8696765,42.74575943,3621.7222,0.32490093,-1.3924866,-0.657531738,34.07032,-0.056302182,-0.028718149,-0.013199917,-0.005073088,0.55952381,488.4808755
Dec-99,1999,12,-65.734,63.05,-65.755,63.1,summer,weaning,1990,East Indian,Antarctic,0,89.94672394,141.5268245,25.78622047,3353.764,0.40345576,-1.540802,-0.551635742,34.12171,-0.036989305,-0.008033343,-0.006719876,0.004013055,0.583333333,512.0558913
Dec-99,1999,12,-65.734,68.15,-65.755,68.2,summer,weaning,1990,Central Indian,Antarctic,0,89.81391907,98.23574525,5.331563651,2745.633,0.53457016,-1.6170654,-0.190765381,34.128464,4.89565e-4,0.008099613,-0.03548557,0.008628735,0.642857143,548.9539588
